# == pyFAI calibration ==
# Distance Sample to Detector: 0.2946421923531691 m
# PONI: 2.875e-01, 2.439e-01 m
# Rotations: -0.010990 -0.009181 0.000003 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 294.672 mm
# Center: x=1436.809, y=1655.851 pix
# Tilt: 0.820 deg  TiltPlanRot: -39.874 deg
# 
# Detector Pilatus 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 2.0732883349524408e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /gpfs/current/raw/FMue_3/FMue_3_20231024_175355_00022.dat
#       2th_deg             I 
  3.021528e+01    1.859363e+03
  3.031924e+01    1.859310e+03
  3.042320e+01    1.852665e+03
  3.052715e+01    1.845069e+03
  3.063111e+01    1.829760e+03
  3.073507e+01    1.822083e+03
  3.083903e+01    1.797712e+03
  3.094298e+01    1.783933e+03
  3.104694e+01    1.777812e+03
  3.115090e+01    1.799117e+03
  3.125486e+01    1.801773e+03
  3.135881e+01    1.798234e+03
  3.146277e+01    1.797632e+03
  3.156673e+01    1.794583e+03
  3.167069e+01    1.793563e+03
  3.177464e+01    1.791895e+03
  3.187860e+01    1.784549e+03
  3.198256e+01    1.778969e+03
  3.208652e+01    1.778333e+03
  3.219047e+01    1.786721e+03
  3.229443e+01    1.779571e+03
  3.239839e+01    1.772457e+03
  3.250235e+01    1.767005e+03
  3.260630e+01    1.764659e+03
  3.271026e+01    1.760899e+03
  3.281422e+01    1.757259e+03
  3.291817e+01    1.750781e+03
  3.302213e+01    1.746597e+03
  3.312609e+01    1.742481e+03
  3.323005e+01    1.737114e+03
  3.333400e+01    1.719911e+03
  3.343796e+01    1.722035e+03
  3.354192e+01    1.719515e+03
  3.364588e+01    1.733239e+03
  3.374983e+01    1.716735e+03
  3.385379e+01    1.713322e+03
  3.395775e+01    1.702763e+03
  3.406171e+01    1.703413e+03
  3.416566e+01    1.697041e+03
  3.426962e+01    1.691813e+03
  3.437358e+01    1.689693e+03
  3.447754e+01    1.683745e+03
  3.458149e+01    1.681810e+03
  3.468545e+01    1.677783e+03
  3.478941e+01    1.668413e+03
  3.489337e+01    1.669438e+03
  3.499732e+01    1.663461e+03
  3.510128e+01    1.674773e+03
  3.520524e+01    1.658719e+03
  3.530920e+01    1.659752e+03
  3.541315e+01    1.656521e+03
  3.551711e+01    1.647644e+03
  3.562107e+01    1.627577e+03
  3.572503e+01    1.610695e+03
  3.582898e+01    1.604625e+03
  3.593294e+01    1.611494e+03
  3.603690e+01    1.622818e+03
  3.614086e+01    1.624416e+03
  3.624481e+01    1.625627e+03
  3.634877e+01    1.625483e+03
  3.645273e+01    1.637481e+03
  3.655669e+01    1.625555e+03
  3.666064e+01    1.618536e+03
  3.676460e+01    1.612528e+03
  3.686856e+01    1.606975e+03
  3.697252e+01    1.604463e+03
  3.707647e+01    1.602451e+03
  3.718043e+01    1.599568e+03
  3.728439e+01    1.596649e+03
  3.738834e+01    1.593453e+03
  3.749230e+01    1.592799e+03
  3.759626e+01    1.590616e+03
  3.770022e+01    1.590470e+03
  3.780417e+01    1.594973e+03
  3.790813e+01    1.582311e+03
  3.801209e+01    1.567532e+03
  3.811605e+01    1.574075e+03
  3.822000e+01    1.572006e+03
  3.832396e+01    1.567854e+03
  3.842792e+01    1.567242e+03
  3.853188e+01    1.563047e+03
  3.863583e+01    1.561413e+03
  3.873979e+01    1.556692e+03
  3.884375e+01    1.553492e+03
  3.894771e+01    1.547910e+03
  3.905166e+01    1.564164e+03
  3.915562e+01    1.546605e+03
  3.925958e+01    1.539673e+03
  3.936354e+01    1.536476e+03
  3.946749e+01    1.532750e+03
  3.957145e+01    1.534004e+03
  3.967541e+01    1.529782e+03
  3.977937e+01    1.526534e+03
  3.988332e+01    1.518721e+03
  3.998728e+01    1.487767e+03
  4.009124e+01    1.471397e+03
  4.019520e+01    1.466923e+03
  4.029915e+01    1.495704e+03
  4.040311e+01    1.517570e+03
  4.050707e+01    1.520280e+03
  4.061103e+01    1.525548e+03
  4.071498e+01    1.528642e+03
  4.081894e+01    1.531350e+03
  4.092290e+01    1.534034e+03
  4.102686e+01    1.535774e+03
  4.113081e+01    1.533445e+03
  4.123477e+01    1.532638e+03
  4.133873e+01    1.531075e+03
  4.144268e+01    1.530721e+03
  4.154664e+01    1.534409e+03
  4.165060e+01    1.531774e+03
  4.175456e+01    1.530498e+03
  4.185851e+01    1.530986e+03
  4.196247e+01    1.531701e+03
  4.206643e+01    1.519624e+03
  4.217039e+01    1.528526e+03
  4.227434e+01    1.530999e+03
  4.237830e+01    1.528933e+03
  4.248226e+01    1.524413e+03
  4.258622e+01    1.524936e+03
  4.269017e+01    1.523258e+03
  4.279413e+01    1.521371e+03
  4.289809e+01    1.520236e+03
  4.300205e+01    1.519285e+03
  4.310600e+01    1.517425e+03
  4.320996e+01    1.516541e+03
  4.331392e+01    1.518785e+03
  4.341788e+01    1.513397e+03
  4.352183e+01    1.513462e+03
  4.362579e+01    1.514667e+03
  4.372975e+01    1.507160e+03
  4.383371e+01    1.489660e+03
  4.393766e+01    1.476879e+03
  4.404162e+01    1.469601e+03
